Poster,No_Bedroom,Area,Apartment_Type,Furniture_Type,Price,Latitude,Longitude
 môi giới ,3.0,80.0,chung cư tập thể,unk,7.5,21.0417308,105.8099499
 cá nhân ,2.0,48.0,chung cư thường,unk,7.5,21.0086145,105.834091
 cá nhân ,1.0,40.0,chung cư tập thể,unk,5.0,20.999548,105.860602
 môi giới ,1.0,30.0,chung cư studio,full,4.5,21.0325939,105.8087418
 môi giới ,1.0,30.0,chung cư thường,full,4.5,21.0338608,105.8094716
 môi giới ,1.0,25.0,chung cư mini,cơ bản,3.0,20.9882537,105.7988373
 môi giới ,1.0,35.0,chung cư thường,unk,3.5,21.0453719,105.8458327
 môi giới ,1.0,35.0,chung cư mini,full cao cấp,4.2,21.0462978,105.7994211
 môi giới ,2.0,94.0,chung cư thường,full cao cấp,11.0,21.0351136,105.7694665
 môi giới ,3.0,118.0,chung cư thường,full,21.0,20.9972755,105.8671037
 cá nhân ,2.0,72.0,chung cư thường,full,10.0,21.0089749,105.8345134
 môi giới ,2.0,65.0,chung cư thường,full,3.0,21.0164183,105.9448441
 cá nhân ,4.0,40.0,chung cư thường,full,8.0,21.0092265,105.7144054
 cá nhân ,2.0,70.0,chung cư thường,full,6.0,21.0007958,105.7333811
 cá nhân ,3.0,130.0,chung cư thường,full,14.0,10.731846,106.6729029
 cá nhân ,3.0,125.0,chung cư thường,full,12.0,21.0363652,105.7714395
 môi giới ,1.0,39.5,chung cư studio,full cao cấp,4.5,21.0164183,105.9448441
 môi giới ,1.0,38.0,chung cư mini,full,5.3,20.9995402,105.8207756
 môi giới ,3.0,91.0,chung cư thường,full cao cấp,16.0,21.0281772,105.7828902
 môi giới ,2.0,60.0,chung cư mini,cơ bản,8.0,21.0141038,105.8556913
 cá nhân ,1.0,26.0,chung cư mini,full,4.0,21.033915,105.797276
 môi giới ,2.0,45.0,chung cư thường,full,5.5,20.9599379,105.8337546
 môi giới ,1.0,48.0,chung cư thường,full,8.0,21.0030906,105.6483168
 môi giới ,2.0,68.0,chung cư thường,full,11.0,21.031007,105.7598975
 môi giới ,3.0,106.0,chung cư thường,full cao cấp,14.5,21.0257768,105.7917203
 môi giới ,1.0,50.0,chung cư mini,full,5.0,21.0001492,105.8312638
 môi giới ,2.0,83.0,chung cư thường,full cao cấp,13.0,20.9997728,105.8145324
 môi giới ,3.0,100.0,chung cư thường,cơ bản,14.0,21.0342555,105.7820067
 môi giới ,3.0,100.0,chung cư thường,full,14.5,21.0355672,105.7939502
 môi giới ,2.0,88.0,chung cư thường,full,12.0,21.0310421,105.7808293
 cá nhân ,1.0,40.0,chung cư thường,full cao cấp,11.0,21.0099571,105.7843298
 môi giới ,1.0,40.0,chung cư thường,unk,6.5,21.0289833,105.8297637
 cá nhân ,2.0,20.0,chung cư thường,unk,6.0,21.0348708,105.8103439
 môi giới ,2.0,69.5,chung cư studio,full cao cấp,6.5,21.0164183,105.9448441
 môi giới ,1.0,63.0,chung cư thường,cơ bản,9.0,21.0349188,105.7643975
